iyear,Attack Count,country_txt
1978,1,Turkey
1978,1,Syria
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Iran
1978,1,Turkey
1978,1,Iran
1978,1,Iran
1978,1,Turkey
1978,1,Iran
1978,1,Turkey
1978,1,Iran
1978,1,Turkey
1978,1,Iran
1978,1,Turkey
1978,1,Lebanon
1978,1,Turkey
1978,1,Iran
1978,1,Iran
1978,1,Lebanon
1978,1,Iran
1978,1,Lebanon
1978,1,Israel
1978,1,Israel
1978,1,West Bank and Gaza Strip
1978,1,Lebanon
1978,1,Lebanon
1978,1,Lebanon
1978,1,North Yemen
1978,1,Israel
1978,1,Iran
1978,1,Iran
1978,1,Iran
1978,1,Iran
1978,1,Lebanon
1978,1,Turkey
1978,1,Lebanon
1978,1,Iran
1978,1,Morocco
1978,1,Turkey
1978,1,Israel
1978,1,Israel
1978,1,Israel
1978,1,Iran
1978,1,Iran
1978,1,Iran
1978,1,Iran
1978,1,Iran
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Israel
1979,1,Israel
1979,1,West Bank and Gaza Strip
1979,1,Israel
1979,1,Israel
1979,1,Tunisia
1979,1,Israel
1979,1,Iran
1979,1,Israel
1979,1,Israel
1979,1,Lebanon
1979,1,Turkey
1979,1,Israel
1979,1,Turkey
1979,1,Israel
1979,1,Iran
1979,1,Lebanon
1979,1,West Bank and Gaza Strip
1979,1,West Bank and Gaza Strip
1979,1,Morocco
1979,1,Lebanon
1979,1,Algeria
1979,1,Israel
1979,1,Turkey
1979,1,Turkey
1979,1,Iran
1979,1,West Bank and Gaza Strip
1979,1,Turkey
1979,1,Israel
1979,1,Turkey
1979,1,Turkey
1979,1,Lebanon
1979,1,Turkey
1979,1,Israel
1979,1,Iran
1979,1,Iran
1979,1,Iran
1979,1,Iran
1979,1,Iran
1979,1,Iran
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Israel
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Israel
1979,1,Syria
1979,1,Iran
1979,1,Iran
1979,1,Turkey
1979,1,Lebanon
1979,1,Morocco
1979,1,Israel
1979,1,West Bank and Gaza Strip
1979,1,West Bank and Gaza Strip
1979,1,Israel
1979,1,Israel
1979,1,Turkey
1979,1,Turkey
1979,1,Israel
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Turkey
1979,1,Israel
1979,1,Israel
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Lebanon
1979,1,Turkey
1979,1,Lebanon
1979,1,West Bank and Gaza Strip
1979,1,Israel
1979,1,Israel
1979,1,Turkey
1979,1,Israel
1979,1,Israel
1979,1,Turkey
1979,1,Lebanon
1979,1,Israel
1979,1,Lebanon
1979,1,Israel
1979,1,Israel
1979,1,Turkey
1979,1,Israel
1979,1,Lebanon
1979,1,Egypt
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Iran
1979,1,Iran
1979,1,Israel
1979,1,Iran
1979,1,Israel
1979,1,Israel
1979,1,Iran
1979,1,Israel
1979,1,Lebanon
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Turkey
1979,1,Turkey
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Israel
1979,1,Turkey
1979,1,Lebanon
1979,1,Israel
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Israel
1979,1,West Bank and Gaza Strip
1979,1,West Bank and Gaza Strip
1979,1,Israel
1979,1,West Bank and Gaza Strip
1979,1,West Bank and Gaza Strip
1979,1,Israel
1979,1,Lebanon
1979,1,West Bank and Gaza Strip
1979,1,Iran
1979,1,Israel
1979,1,Israel
1979,1,Lebanon
1979,1,West Bank and Gaza Strip
1979,1,Syria
1979,1,Syria
1979,1,Syria
1979,1,Turkey
1979,1,Iran
1979,1,Iran
1979,1,Israel
1979,1,Iran
1979,1,Iran
1979,1,Lebanon
1979,1,Iran
1979,1,Turkey
1979,1,Israel
1979,1,Lebanon
1979,1,Iran
1979,1,Iran
1979,1,Iraq
1979,1,Syria
1979,1,Israel
1979,1,Iran
1979,1,Israel
1979,1,Israel
1979,1,Lebanon
1979,1,Iran
1979,1,Turkey
1979,1,Iran
1979,1,Israel
1979,1,Syria
1979,1,Syria
1979,1,Turkey
1979,1,Turkey
1979,1,Israel
1979,1,West Bank and Gaza Strip
1979,1,Lebanon
1979,1,Turkey
1979,1,Syria
1979,1,Israel
1979,1,Turkey
1979,1,Turkey
1979,1,Turkey
1979,1,Israel
1979,1,Israel
1979,1,Israel
