areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingSum
E12000001,North East,region,2023-01-15,918
E12000001,North East,region,2023-01-14,943
E12000001,North East,region,2023-01-13,1014
E12000001,North East,region,2023-01-12,1109
E12000001,North East,region,2023-01-11,1191
E12000001,North East,region,2023-01-10,1255
E12000001,North East,region,2023-01-09,1389
E12000001,North East,region,2023-01-08,1407
E12000001,North East,region,2023-01-07,1405
E12000001,North East,region,2023-01-06,1425
E12000001,North East,region,2023-01-05,1464
E12000001,North East,region,2023-01-04,1604
E12000001,North East,region,2023-01-03,1699
E12000001,North East,region,2023-01-02,1632
E12000001,North East,region,2023-01-01,1610
E12000001,North East,region,2022-12-31,1615
E12000001,North East,region,2022-12-30,1598
E12000001,North East,region,2022-12-29,1514
E12000001,North East,region,2022-12-28,1379
E12000001,North East,region,2022-12-27,1334
E12000001,North East,region,2022-12-26,1409
E12000001,North East,region,2022-12-25,1511
E12000001,North East,region,2022-12-24,1557
E12000001,North East,region,2022-12-23,1552
E12000001,North East,region,2022-12-22,1594
E12000001,North East,region,2022-12-21,1592
E12000001,North East,region,2022-12-20,1557
E12000001,North East,region,2022-12-19,1458
E12000001,North East,region,2022-12-18,1405
E12000001,North East,region,2022-12-17,1405
E12000001,North East,region,2022-12-16,1390
E12000001,North East,region,2022-12-15,1327
E12000001,North East,region,2022-12-14,1271
E12000001,North East,region,2022-12-13,1207
E12000001,North East,region,2022-12-12,1180
E12000001,North East,region,2022-12-11,1199
E12000001,North East,region,2022-12-10,1171
E12000001,North East,region,2022-12-09,1138
E12000001,North East,region,2022-12-08,1127
E12000001,North East,region,2022-12-07,1123
E12000001,North East,region,2022-12-06,1124
E12000001,North East,region,2022-12-05,1098
E12000001,North East,region,2022-12-04,1043
E12000001,North East,region,2022-12-03,1036
E12000001,North East,region,2022-12-02,1023
E12000001,North East,region,2022-12-01,991
E12000001,North East,region,2022-11-30,972
E12000001,North East,region,2022-11-29,916
E12000001,North East,region,2022-11-28,907
E12000001,North East,region,2022-11-27,862
E12000001,North East,region,2022-11-26,814
E12000001,North East,region,2022-11-25,837
E12000001,North East,region,2022-11-24,841
E12000001,North East,region,2022-11-23,840
E12000001,North East,region,2022-11-22,841
E12000001,North East,region,2022-11-21,808
E12000001,North East,region,2022-11-20,833
E12000001,North East,region,2022-11-19,875
E12000001,North East,region,2022-11-18,868
E12000001,North East,region,2022-11-17,881
E12000001,North East,region,2022-11-16,873
E12000001,North East,region,2022-11-15,932
E12000001,North East,region,2022-11-14,963
E12000001,North East,region,2022-11-13,983
E12000001,North East,region,2022-11-12,993
E12000001,North East,region,2022-11-11,1008
E12000001,North East,region,2022-11-10,1016
E12000001,North East,region,2022-11-09,1033
E12000001,North East,region,2022-11-08,1071
E12000001,North East,region,2022-11-07,1133
E12000001,North East,region,2022-11-06,1179
E12000001,North East,region,2022-11-05,1218
E12000001,North East,region,2022-11-04,1236
E12000001,North East,region,2022-11-03,1320
E12000001,North East,region,2022-11-02,1366
E12000001,North East,region,2022-11-01,1425
