areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
E12000001,North East,region,2022-03-16,6
E12000001,North East,region,2022-03-15,0
E12000001,North East,region,2022-03-14,2
E12000001,North East,region,2022-03-13,4
E12000001,North East,region,2022-03-12,3
E12000001,North East,region,2022-03-11,4
E12000001,North East,region,2022-03-10,5
E12000001,North East,region,2022-03-09,4
E12000001,North East,region,2022-03-08,6
E12000001,North East,region,2022-03-07,3
E12000001,North East,region,2022-03-06,5
E12000001,North East,region,2022-03-05,4
E12000001,North East,region,2022-03-04,4
E12000001,North East,region,2022-03-03,7
E12000001,North East,region,2022-03-02,11
E12000001,North East,region,2022-03-01,7
E12000001,North East,region,2022-02-28,7
E12000001,North East,region,2022-02-27,9
E12000001,North East,region,2022-02-26,6
E12000001,North East,region,2022-02-25,6
E12000001,North East,region,2022-02-24,6
E12000001,North East,region,2022-02-23,4
E12000001,North East,region,2022-02-22,8
E12000001,North East,region,2022-02-21,8
E12000001,North East,region,2022-02-20,13
E12000001,North East,region,2022-02-19,6
E12000001,North East,region,2022-02-18,8
E12000001,North East,region,2022-02-17,6
E12000001,North East,region,2022-02-16,11
E12000001,North East,region,2022-02-15,11
E12000001,North East,region,2022-02-14,14
E12000001,North East,region,2022-02-13,14
E12000001,North East,region,2022-02-12,9
E12000001,North East,region,2022-02-11,9
E12000001,North East,region,2022-02-10,13
E12000001,North East,region,2022-02-09,11
E12000001,North East,region,2022-02-08,14
E12000001,North East,region,2022-02-07,14
E12000001,North East,region,2022-02-06,13
E12000001,North East,region,2022-02-05,13
E12000001,North East,region,2022-02-04,15
E12000001,North East,region,2022-02-03,19
E12000001,North East,region,2022-02-02,14
E12000001,North East,region,2022-02-01,27
E12000001,North East,region,2022-01-31,28
E12000001,North East,region,2022-01-30,17
E12000001,North East,region,2022-01-29,17
E12000001,North East,region,2022-01-28,24
E12000001,North East,region,2022-01-27,17
E12000001,North East,region,2022-01-26,22
E12000001,North East,region,2022-01-25,13
E12000001,North East,region,2022-01-24,21
E12000001,North East,region,2022-01-23,18
E12000001,North East,region,2022-01-22,27
E12000001,North East,region,2022-01-21,15
E12000001,North East,region,2022-01-20,20
E12000001,North East,region,2022-01-19,16
E12000001,North East,region,2022-01-18,19
E12000001,North East,region,2022-01-17,13
E12000001,North East,region,2022-01-16,20
E12000001,North East,region,2022-01-15,11
E12000001,North East,region,2022-01-14,18
E12000001,North East,region,2022-01-13,10
E12000001,North East,region,2022-01-12,23
E12000001,North East,region,2022-01-11,12
E12000001,North East,region,2022-01-10,12
E12000001,North East,region,2022-01-09,9
E12000001,North East,region,2022-01-08,9
E12000001,North East,region,2022-01-07,7
E12000001,North East,region,2022-01-06,11
E12000001,North East,region,2022-01-05,10
E12000001,North East,region,2022-01-04,7
E12000001,North East,region,2022-01-03,9
E12000001,North East,region,2022-01-02,2
E12000001,North East,region,2022-01-01,7
E12000001,North East,region,2021-12-31,6
E12000001,North East,region,2021-12-30,9
E12000001,North East,region,2021-12-29,3
E12000001,North East,region,2021-12-28,6
E12000001,North East,region,2021-12-27,5
E12000001,North East,region,2021-12-26,4
E12000001,North East,region,2021-12-25,4
E12000001,North East,region,2021-12-24,2
E12000001,North East,region,2021-12-23,7
E12000001,North East,region,2021-12-22,7
E12000001,North East,region,2021-12-21,11
E12000001,North East,region,2021-12-20,5
E12000001,North East,region,2021-12-19,6
E12000001,North East,region,2021-12-18,7
E12000001,North East,region,2021-12-17,4
E12000001,North East,region,2021-12-16,5
E12000001,North East,region,2021-12-15,5
E12000001,North East,region,2021-12-14,3
E12000001,North East,region,2021-12-13,6
E12000001,North East,region,2021-12-12,5
E12000001,North East,region,2021-12-11,6
E12000001,North East,region,2021-12-10,6
E12000001,North East,region,2021-12-09,7
E12000001,North East,region,2021-12-08,3
E12000001,North East,region,2021-12-07,5
E12000001,North East,region,2021-12-06,5
E12000001,North East,region,2021-12-05,5
E12000001,North East,region,2021-12-04,6
E12000001,North East,region,2021-12-03,5
E12000001,North East,region,2021-12-02,6
E12000001,North East,region,2021-12-01,12
E12000001,North East,region,2021-11-30,4
E12000001,North East,region,2021-11-29,2
E12000001,North East,region,2021-11-28,3
E12000001,North East,region,2021-11-27,3
E12000001,North East,region,2021-11-26,5
E12000001,North East,region,2021-11-25,4
E12000001,North East,region,2021-11-24,5
E12000001,North East,region,2021-11-23,6
E12000001,North East,region,2021-11-22,9
E12000001,North East,region,2021-11-21,4
E12000001,North East,region,2021-11-20,11
E12000001,North East,region,2021-11-19,7
E12000001,North East,region,2021-11-18,6
E12000001,North East,region,2021-11-17,3
E12000001,North East,region,2021-11-16,5
E12000001,North East,region,2021-11-15,5
E12000001,North East,region,2021-11-14,4
E12000001,North East,region,2021-11-13,7
E12000001,North East,region,2021-11-12,10
E12000001,North East,region,2021-11-11,15
E12000001,North East,region,2021-11-10,8
E12000001,North East,region,2021-11-09,10
E12000001,North East,region,2021-11-08,9
E12000001,North East,region,2021-11-07,8
E12000001,North East,region,2021-11-06,8
E12000001,North East,region,2021-11-05,12
E12000001,North East,region,2021-11-04,7
E12000001,North East,region,2021-11-03,9
E12000001,North East,region,2021-11-02,11
E12000001,North East,region,2021-11-01,7
E12000001,North East,region,2021-10-31,15
E12000001,North East,region,2021-10-30,8
E12000001,North East,region,2021-10-29,6
E12000001,North East,region,2021-10-28,9
E12000001,North East,region,2021-10-27,7
E12000001,North East,region,2021-10-26,7
E12000001,North East,region,2021-10-25,5
E12000001,North East,region,2021-10-24,11
E12000001,North East,region,2021-10-23,6
E12000001,North East,region,2021-10-22,8
E12000001,North East,region,2021-10-21,11
E12000001,North East,region,2021-10-20,5
E12000001,North East,region,2021-10-19,13
E12000001,North East,region,2021-10-18,4
E12000001,North East,region,2021-10-17,7
E12000001,North East,region,2021-10-16,5
E12000001,North East,region,2021-10-15,7
E12000001,North East,region,2021-10-14,9
E12000001,North East,region,2021-10-13,7
E12000001,North East,region,2021-10-12,7
E12000001,North East,region,2021-10-11,7
E12000001,North East,region,2021-10-10,4
E12000001,North East,region,2021-10-09,7
E12000001,North East,region,2021-10-08,10
E12000001,North East,region,2021-10-07,6
E12000001,North East,region,2021-10-06,3
E12000001,North East,region,2021-10-05,7
E12000001,North East,region,2021-10-04,4
E12000001,North East,region,2021-10-03,7
E12000001,North East,region,2021-10-02,8
E12000001,North East,region,2021-10-01,6
E12000001,North East,region,2021-09-30,8
E12000001,North East,region,2021-09-29,9
E12000001,North East,region,2021-09-28,6
E12000001,North East,region,2021-09-27,6
E12000001,North East,region,2021-09-26,10
E12000001,North East,region,2021-09-25,6
E12000001,North East,region,2021-09-24,5
E12000001,North East,region,2021-09-23,9
E12000001,North East,region,2021-09-22,14
E12000001,North East,region,2021-09-21,5
E12000001,North East,region,2021-09-20,14
E12000001,North East,region,2021-09-19,8
E12000001,North East,region,2021-09-18,6
E12000001,North East,region,2021-09-17,9
E12000001,North East,region,2021-09-16,12
E12000001,North East,region,2021-09-15,14
E12000001,North East,region,2021-09-14,13
E12000001,North East,region,2021-09-13,5
E12000001,North East,region,2021-09-12,5
E12000001,North East,region,2021-09-11,7
E12000001,North East,region,2021-09-10,10
E12000001,North East,region,2021-09-09,7
E12000001,North East,region,2021-09-08,1
E12000001,North East,region,2021-09-07,10
E12000001,North East,region,2021-09-06,6
E12000001,North East,region,2021-09-05,4
E12000001,North East,region,2021-09-04,5
E12000001,North East,region,2021-09-03,9
E12000001,North East,region,2021-09-02,7
E12000001,North East,region,2021-09-01,2
E12000001,North East,region,2021-08-31,8
E12000001,North East,region,2021-08-30,6
E12000001,North East,region,2021-08-29,2
E12000001,North East,region,2021-08-28,10
E12000001,North East,region,2021-08-27,7
E12000001,North East,region,2021-08-26,2
E12000001,North East,region,2021-08-25,9
E12000001,North East,region,2021-08-24,8
E12000001,North East,region,2021-08-23,6
E12000001,North East,region,2021-08-22,6
E12000001,North East,region,2021-08-21,6
E12000001,North East,region,2021-08-20,10
E12000001,North East,region,2021-08-19,8
E12000001,North East,region,2021-08-18,6
E12000001,North East,region,2021-08-17,10
E12000001,North East,region,2021-08-16,4
E12000001,North East,region,2021-08-15,4
E12000001,North East,region,2021-08-14,5
E12000001,North East,region,2021-08-13,3
E12000001,North East,region,2021-08-12,5
E12000001,North East,region,2021-08-11,3
E12000001,North East,region,2021-08-10,6
E12000001,North East,region,2021-08-09,9
E12000001,North East,region,2021-08-08,4
E12000001,North East,region,2021-08-07,6
E12000001,North East,region,2021-08-06,8
E12000001,North East,region,2021-08-05,9
E12000001,North East,region,2021-08-04,10
E12000001,North East,region,2021-08-03,13
E12000001,North East,region,2021-08-02,10
E12000001,North East,region,2021-08-01,9
E12000001,North East,region,2021-07-31,10
E12000001,North East,region,2021-07-30,7
E12000001,North East,region,2021-07-29,8
E12000001,North East,region,2021-07-28,6
E12000001,North East,region,2021-07-27,2
E12000001,North East,region,2021-07-26,10
E12000001,North East,region,2021-07-25,5
E12000001,North East,region,2021-07-24,12
E12000001,North East,region,2021-07-23,4
E12000001,North East,region,2021-07-22,7
E12000001,North East,region,2021-07-21,8
E12000001,North East,region,2021-07-20,5
E12000001,North East,region,2021-07-19,13
E12000001,North East,region,2021-07-18,1
E12000001,North East,region,2021-07-17,3
E12000001,North East,region,2021-07-16,5
E12000001,North East,region,2021-07-15,4
E12000001,North East,region,2021-07-14,4
E12000001,North East,region,2021-07-13,5
E12000001,North East,region,2021-07-12,2
E12000001,North East,region,2021-07-11,4
E12000001,North East,region,2021-07-10,2
E12000001,North East,region,2021-07-09,7
E12000001,North East,region,2021-07-08,3
E12000001,North East,region,2021-07-07,2
E12000001,North East,region,2021-07-06,3
E12000001,North East,region,2021-07-05,1
E12000001,North East,region,2021-07-04,0
