date,Date,CDID,Value,series
2005 DEC,2005-12-15,WUMB,.12,AlcoholTobacco
2005 DEC,2005-12-15,WUMC,-.27,ClothingFootwear
2005 DEC,2005-12-15,WUMD,.67,HousingHouseService
2005 DEC,2005-12-15,WUMP,.01,FurnitureHousehold
2005 DEC,2005-12-15,WUMQ,.06,Health
2005 DEC,2005-12-15,WUMW,.42,Transport
2005 DEC,2005-12-15,WUMX,-.03,Communication
2005 DEC,2005-12-15,WUNC,-.26,RecreationCulture
2005 DEC,2005-12-15,WUND,.08,Education
2005 DEC,2005-12-15,WUNE,.48,RestaurantsHotels
2005 DEC,2005-12-15,WUNG,.46,Misc
2005 FEB,2005-02-15,WUMA,.09,Food
2005 FEB,2005-02-15,WUMB,.13,AlcoholTobacco
2005 FEB,2005-02-15,WUMC,-.37,ClothingFootwear
2005 FEB,2005-02-15,WUMD,.6,HousingHouseService
2005 FEB,2005-02-15,WUMP,-.05,FurnitureHousehold
2005 FEB,2005-02-15,WUMQ,.06,Health
2005 FEB,2005-02-15,WUMW,.5,Transport
2005 FEB,2005-02-15,WUMX,-.07,Communication
2005 FEB,2005-02-15,WUNC,-.11,RecreationCulture
2005 FEB,2005-02-15,WUND,.08,Education
2005 FEB,2005-02-15,WUNE,.42,RestaurantsHotels
2005 FEB,2005-02-15,WUNG,.37,Misc
2005 JAN,2005-01-15,WUMA,.04,Food
2005 JAN,2005-01-15,WUMB,.11,AlcoholTobacco
2005 JAN,2005-01-15,WUMC,-.38,ClothingFootwear
2005 JAN,2005-01-15,WUMD,.6,HousingHouseService
2005 JAN,2005-01-15,WUMP,.01,FurnitureHousehold
2005 JAN,2005-01-15,WUMQ,.06,Health
2005 JAN,2005-01-15,WUMW,.43,Transport
2005 JAN,2005-01-15,WUMX,-.06,Communication
2005 JAN,2005-01-15,WUNC,-.06,RecreationCulture
2005 JAN,2005-01-15,WUND,.08,Education
2005 JAN,2005-01-15,WUNE,.4,RestaurantsHotels
2005 JAN,2005-01-15,WUNG,.39,Misc
2005 JUL,2005-07-15,WUMA,.18,Food
2005 JUL,2005-07-15,WUMB,.1,AlcoholTobacco
2005 JUL,2005-07-15,WUMC,-.32,ClothingFootwear
2005 JUL,2005-07-15,WUMD,.6899999999999999,HousingHouseService
2005 JUL,2005-07-15,WUMP,.08,FurnitureHousehold
2005 JUL,2005-07-15,WUMQ,.08,Health
2005 JUL,2005-07-15,WUMW,.7,Transport
2005 JUL,2005-07-15,WUMX,-.07,Communication
2005 JUL,2005-07-15,WUNC,-.23,RecreationCulture
2005 JUL,2005-07-15,WUND,.08,Education
2005 JUL,2005-07-15,WUNE,.48,RestaurantsHotels
2005 JUL,2005-07-15,WUNG,.5600000000000001,Misc
2005 JUN,2005-06-15,WUMA,.23,Food
2005 JUN,2005-06-15,WUMB,.11,AlcoholTobacco
2005 JUN,2005-06-15,WUMC,-.3,ClothingFootwear
2005 JUN,2005-06-15,WUMD,.66,HousingHouseService
2005 JUN,2005-06-15,WUMP,-.02,FurnitureHousehold
2005 JUN,2005-06-15,WUMQ,.06,Health
2005 JUN,2005-06-15,WUMW,.51,Transport
2005 JUN,2005-06-15,WUMX,-.08,Communication
2005 JUN,2005-06-15,WUNC,-.18,RecreationCulture
2005 JUN,2005-06-15,WUND,.08,Education
2005 JUN,2005-06-15,WUNE,.44,RestaurantsHotels
2005 JUN,2005-06-15,WUNG,.49,Misc
2005 MAR,2005-03-15,WUMA,.18,Food
2005 MAR,2005-03-15,WUMB,.1,AlcoholTobacco
2005 MAR,2005-03-15,WUMC,-.33,ClothingFootwear
2005 MAR,2005-03-15,WUMD,.6,HousingHouseService
2005 MAR,2005-03-15,WUMP,.03,FurnitureHousehold
2005 MAR,2005-03-15,WUMQ,.06,Health
2005 MAR,2005-03-15,WUMW,.61,Transport
2005 MAR,2005-03-15,WUMX,-.08,Communication
2005 MAR,2005-03-15,WUNC,-.11,RecreationCulture
2005 MAR,2005-03-15,WUND,.08,Education
2005 MAR,2005-03-15,WUNE,.39,RestaurantsHotels
2005 MAR,2005-03-15,WUNG,.39,Misc
2005 MAY,2005-05-15,WUMA,.15,Food
2005 MAY,2005-05-15,WUMB,.11,AlcoholTobacco
2005 MAY,2005-05-15,WUMC,-.35,ClothingFootwear
2005 MAY,2005-05-15,WUMD,.66,HousingHouseService
2005 MAY,2005-05-15,WUMP,-.05,FurnitureHousehold
2005 MAY,2005-05-15,WUMQ,.07,Health
2005 MAY,2005-05-15,WUMW,.51,Transport
2005 MAY,2005-05-15,WUMX,-.09,Communication
2005 MAY,2005-05-15,WUNC,-.08,RecreationCulture
2005 MAY,2005-05-15,WUND,.08,Education
2005 MAY,2005-05-15,WUNE,.46,RestaurantsHotels
2005 MAY,2005-05-15,WUNG,.46,Misc
2005 NOV,2005-11-15,WUMA,.18,Food
2005 NOV,2005-11-15,WUMB,.12,AlcoholTobacco
2005 NOV,2005-11-15,WUMC,-.33,ClothingFootwear
2005 NOV,2005-11-15,WUMD,.68,HousingHouseService
2005 NOV,2005-11-15,WUMP,.03,FurnitureHousehold
2005 NOV,2005-11-15,WUMQ,.07,Health
2005 NOV,2005-11-15,WUMW,.62,Transport
2005 NOV,2005-11-15,WUMX,-.03,Communication
2005 NOV,2005-11-15,WUNC,-.23,RecreationCulture
2005 NOV,2005-11-15,WUND,.08,Education
2005 NOV,2005-11-15,WUNE,.48,RestaurantsHotels
2005 NOV,2005-11-15,WUNG,.47,Misc
2005 OCT,2005-10-15,WUMA,.16,Food
2005 OCT,2005-10-15,WUMB,.09,AlcoholTobacco
2005 OCT,2005-10-15,WUMC,-.34,ClothingFootwear
2005 OCT,2005-10-15,WUMD,.68,HousingHouseService
2005 OCT,2005-10-15,WUMP,.03,FurnitureHousehold
