areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByPublishDate
E92000001,England,nation,2022-08-09,0,0
E92000001,England,nation,2022-08-08,0,0
E92000001,England,nation,2022-08-07,0,0
E92000001,England,nation,2022-08-06,0,0
E92000001,England,nation,2022-08-05,0,0
E92000001,England,nation,2022-08-04,0,0
E92000001,England,nation,2022-08-03,57277,1075
E92000001,England,nation,2022-08-02,0,0
E92000001,England,nation,2022-08-01,0,0
E92000001,England,nation,2022-07-31,0,0
E92000001,England,nation,2022-07-30,0,0
E92000001,England,nation,2022-07-29,0,0
E92000001,England,nation,2022-07-28,0,0
E92000001,England,nation,2022-07-27,81951,1197
E92000001,England,nation,2022-07-26,0,0
E92000001,England,nation,2022-07-25,0,0
E92000001,England,nation,2022-07-24,0,0
E92000001,England,nation,2022-07-23,0,0
E92000001,England,nation,2022-07-22,0,0
E92000001,England,nation,2022-07-21,0,0
E92000001,England,nation,2022-07-20,123568,1100
E92000001,England,nation,2022-07-19,0,0
E92000001,England,nation,2022-07-18,0,0
E92000001,England,nation,2022-07-17,0,0
E92000001,England,nation,2022-07-16,0,0
E92000001,England,nation,2022-07-15,0,0
E92000001,England,nation,2022-07-14,0,0
E92000001,England,nation,2022-07-13,171877,850
E92000001,England,nation,2022-07-12,0,0
E92000001,England,nation,2022-07-11,0,0
E92000001,England,nation,2022-07-10,0,0
E92000001,England,nation,2022-07-09,0,0
E92000001,England,nation,2022-07-08,0,0
E92000001,England,nation,2022-07-07,0,0
E92000001,England,nation,2022-07-06,120170,301
E92000001,England,nation,2022-07-05,0,0
E92000001,England,nation,2022-07-04,0,0
E92000001,England,nation,2022-07-03,0,0
E92000001,England,nation,2022-07-02,0,0
E92000001,England,nation,2022-07-01,20731,87
E92000001,England,nation,2022-06-30,21732,68
E92000001,England,nation,2022-06-29,21428,117
E92000001,England,nation,2022-06-28,21415,117
E92000001,England,nation,2022-06-27,47332,84
E92000001,England,nation,2022-06-26,0,0
E92000001,England,nation,2022-06-25,0,0
E92000001,England,nation,2022-06-24,16489,68
E92000001,England,nation,2022-06-23,17481,64
E92000001,England,nation,2022-06-22,17202,77
E92000001,England,nation,2022-06-21,16432,105
E92000001,England,nation,2022-06-20,36452,64
E92000001,England,nation,2022-06-19,0,0
E92000001,England,nation,2022-06-18,0,0
E92000001,England,nation,2022-06-17,12065,65
E92000001,England,nation,2022-06-16,12080,50
E92000001,England,nation,2022-06-15,13401,48
E92000001,England,nation,2022-06-14,12031,89
E92000001,England,nation,2022-06-13,28249,57
E92000001,England,nation,2022-06-12,0,0
E92000001,England,nation,2022-06-11,0,0
E92000001,England,nation,2022-06-10,9217,52
E92000001,England,nation,2022-06-09,9741,60
E92000001,England,nation,2022-06-08,9298,85
E92000001,England,nation,2022-06-07,10240,132
E92000001,England,nation,2022-06-06,29155,78
E92000001,England,nation,2022-06-05,0,0
E92000001,England,nation,2022-06-04,0,0
E92000001,England,nation,2022-06-03,0,0
E92000001,England,nation,2022-06-02,0,0
E92000001,England,nation,2022-06-01,5313,90
E92000001,England,nation,2022-05-31,5802,110
E92000001,England,nation,2022-05-30,13590,67
E92000001,England,nation,2022-05-29,0,0
E92000001,England,nation,2022-05-28,0,0
E92000001,England,nation,2022-05-27,4661,61
