areaCode,areaName,areaType,date,uniqueCasePositivityBySpecimenDateRollingSum
E12000001,North East,region,2022-09-13,6.4
E12000001,North East,region,2022-09-12,6.2
E12000001,North East,region,2022-09-11,6.3
E12000001,North East,region,2022-09-10,6.4
E12000001,North East,region,2022-09-09,6.4
E12000001,North East,region,2022-09-08,6.3
E12000001,North East,region,2022-09-07,5.8
E12000001,North East,region,2022-09-06,5.3
E12000001,North East,region,2022-09-05,5.0
E12000001,North East,region,2022-09-04,4.4
E12000001,North East,region,2022-09-03,4.3
E12000001,North East,region,2022-09-02,4.0
E12000001,North East,region,2022-09-01,4.1
E12000001,North East,region,2022-08-31,4.2
E12000001,North East,region,2022-08-30,4.5
E12000001,North East,region,2022-08-29,4.5
E12000001,North East,region,2022-08-28,4.5
E12000001,North East,region,2022-08-27,4.5
E12000001,North East,region,2022-08-26,4.7
E12000001,North East,region,2022-08-25,4.7
E12000001,North East,region,2022-08-24,4.9
E12000001,North East,region,2022-08-23,5.0
E12000001,North East,region,2022-08-22,5.2
E12000001,North East,region,2022-08-21,5.2
E12000001,North East,region,2022-08-20,5.5
E12000001,North East,region,2022-08-19,5.7
E12000001,North East,region,2022-08-18,5.9
E12000001,North East,region,2022-08-17,5.8
E12000001,North East,region,2022-08-16,5.9
E12000001,North East,region,2022-08-15,5.8
E12000001,North East,region,2022-08-14,5.7
E12000001,North East,region,2022-08-13,5.5
E12000001,North East,region,2022-08-12,5.5
E12000001,North East,region,2022-08-11,5.8
E12000001,North East,region,2022-08-10,6.0
E12000001,North East,region,2022-08-09,6.0
E12000001,North East,region,2022-08-08,6.1
E12000001,North East,region,2022-08-07,6.2
E12000001,North East,region,2022-08-06,6.6
E12000001,North East,region,2022-08-05,6.6
E12000001,North East,region,2022-08-04,6.6
E12000001,North East,region,2022-08-03,6.7
E12000001,North East,region,2022-08-02,6.7
E12000001,North East,region,2022-08-01,6.8
E12000001,North East,region,2022-07-31,6.6
E12000001,North East,region,2022-07-30,6.6
E12000001,North East,region,2022-07-29,6.8
E12000001,North East,region,2022-07-28,7.0
E12000001,North East,region,2022-07-27,7.3
E12000001,North East,region,2022-07-26,7.8
E12000001,North East,region,2022-07-25,8.0
E12000001,North East,region,2022-07-24,8.1
E12000001,North East,region,2022-07-23,8.1
E12000001,North East,region,2022-07-22,8.3
E12000001,North East,region,2022-07-21,8.4
E12000001,North East,region,2022-07-20,8.6
E12000001,North East,region,2022-07-19,8.8
E12000001,North East,region,2022-07-18,8.9
E12000001,North East,region,2022-07-17,9.2
E12000001,North East,region,2022-07-16,9.3
E12000001,North East,region,2022-07-15,9.3
E12000001,North East,region,2022-07-14,9.5
E12000001,North East,region,2022-07-13,9.8
E12000001,North East,region,2022-07-12,10.0
E12000001,North East,region,2022-07-11,10.3
E12000001,North East,region,2022-07-10,10.0
E12000001,North East,region,2022-07-09,10.0
E12000001,North East,region,2022-07-08,10.0
E12000001,North East,region,2022-07-07,10.1
E12000001,North East,region,2022-07-06,10.1
E12000001,North East,region,2022-07-05,10.4
E12000001,North East,region,2022-07-04,10.1
E12000001,North East,region,2022-07-03,9.5
E12000001,North East,region,2022-07-02,9.4
E12000001,North East,region,2022-07-01,9.3
E12000001,North East,region,2022-06-30,9.4
E12000001,North East,region,2022-06-29,9.4
E12000001,North East,region,2022-06-28,8.8
E12000001,North East,region,2022-06-27,8.9
E12000001,North East,region,2022-06-26,8.9
E12000001,North East,region,2022-06-25,8.7
E12000001,North East,region,2022-06-24,8.3
E12000001,North East,region,2022-06-23,7.8
E12000001,North East,region,2022-06-22,7.3
E12000001,North East,region,2022-06-21,7.3
E12000001,North East,region,2022-06-20,6.7
E12000001,North East,region,2022-06-19,6.2
E12000001,North East,region,2022-06-18,6.1
E12000001,North East,region,2022-06-17,5.9
E12000001,North East,region,2022-06-16,5.9
E12000001,North East,region,2022-06-15,5.9
E12000001,North East,region,2022-06-14,5.9
E12000001,North East,region,2022-06-13,5.6
E12000001,North East,region,2022-06-12,5.4
E12000001,North East,region,2022-06-11,5.2
E12000001,North East,region,2022-06-10,5.1
E12000001,North East,region,2022-06-09,4.8
E12000001,North East,region,2022-06-08,4.5
E12000001,North East,region,2022-06-07,4.0
E12000001,North East,region,2022-06-06,3.7
E12000001,North East,region,2022-06-05,3.6
E12000001,North East,region,2022-06-04,3.4
E12000001,North East,region,2022-06-03,3.4
E12000001,North East,region,2022-06-02,3.3
E12000001,North East,region,2022-06-01,3.3
E12000001,North East,region,2022-05-31,3.3
E12000001,North East,region,2022-05-30,3.1
E12000001,North East,region,2022-05-29,3.0
E12000001,North East,region,2022-05-28,3.1
E12000001,North East,region,2022-05-27,3.1
E12000001,North East,region,2022-05-26,3.3
E12000001,North East,region,2022-05-25,3.3
E12000001,North East,region,2022-05-24,3.5
E12000001,North East,region,2022-05-23,3.7
E12000001,North East,region,2022-05-22,3.9
E12000001,North East,region,2022-05-21,4.0
E12000001,North East,region,2022-05-20,4.3
E12000001,North East,region,2022-05-19,4.5
E12000001,North East,region,2022-05-18,4.5
E12000001,North East,region,2022-05-17,4.4
E12000001,North East,region,2022-05-16,4.6
E12000001,North East,region,2022-05-15,4.8
E12000001,North East,region,2022-05-14,4.7
E12000001,North East,region,2022-05-13,4.7
E12000001,North East,region,2022-05-12,4.8
E12000001,North East,region,2022-05-11,5.1
E12000001,North East,region,2022-05-10,5.3
E12000001,North East,region,2022-05-09,5.6
E12000001,North East,region,2022-05-08,5.6
E12000001,North East,region,2022-05-07,5.7
E12000001,North East,region,2022-05-06,5.8
E12000001,North East,region,2022-05-05,6.2
E12000001,North East,region,2022-05-04,6.4
E12000001,North East,region,2022-05-03,6.5
E12000001,North East,region,2022-05-02,6.6
E12000001,North East,region,2022-05-01,6.7
E12000001,North East,region,2022-04-30,7.1
E12000001,North East,region,2022-04-29,7.4
E12000001,North East,region,2022-04-28,7.5
E12000001,North East,region,2022-04-27,8.0
E12000001,North East,region,2022-04-26,8.3
E12000001,North East,region,2022-04-25,8.6
E12000001,North East,region,2022-04-24,8.9
E12000001,North East,region,2022-04-23,9.0
E12000001,North East,region,2022-04-22,9.3
E12000001,North East,region,2022-04-21,10.0
E12000001,North East,region,2022-04-20,9.9
E12000001,North East,region,2022-04-19,10.4
E12000001,North East,region,2022-04-18,10.5
E12000001,North East,region,2022-04-17,10.6
E12000001,North East,region,2022-04-16,10.9
E12000001,North East,region,2022-04-15,11.0
E12000001,North East,region,2022-04-14,10.9
E12000001,North East,region,2022-04-13,11.4
E12000001,North East,region,2022-04-12,11.7
E12000001,North East,region,2022-04-11,12.3
E12000001,North East,region,2022-04-10,12.9
E12000001,North East,region,2022-04-09,13.2
E12000001,North East,region,2022-04-08,13.6
E12000001,North East,region,2022-04-07,15.2
E12000001,North East,region,2022-04-06,16.4
E12000001,North East,region,2022-04-05,18.7
E12000001,North East,region,2022-04-04,20.5
E12000001,North East,region,2022-04-03,22.6
E12000001,North East,region,2022-04-02,23.7
E12000001,North East,region,2022-04-01,24.8
E12000001,North East,region,2022-03-31,25.5
E12000001,North East,region,2022-03-30,26.3
E12000001,North East,region,2022-03-29,26.8
E12000001,North East,region,2022-03-28,26.8
E12000001,North East,region,2022-03-27,26.1
E12000001,North East,region,2022-03-26,26.0
E12000001,North East,region,2022-03-25,25.6
E12000001,North East,region,2022-03-24,25.2
E12000001,North East,region,2022-03-23,24.6
E12000001,North East,region,2022-03-22,23.6
E12000001,North East,region,2022-03-21,22.2
E12000001,North East,region,2022-03-20,20.6
E12000001,North East,region,2022-03-19,20.0
E12000001,North East,region,2022-03-18,19.8
E12000001,North East,region,2022-03-17,19.1
E12000001,North East,region,2022-03-16,18.6
E12000001,North East,region,2022-03-15,17.8
E12000001,North East,region,2022-03-14,17.1
E12000001,North East,region,2022-03-13,16.1
E12000001,North East,region,2022-03-12,15.4
E12000001,North East,region,2022-03-11,14.7
E12000001,North East,region,2022-03-10,14.3
E12000001,North East,region,2022-03-09,13.4
E12000001,North East,region,2022-03-08,12.9
E12000001,North East,region,2022-03-07,12.2
E12000001,North East,region,2022-03-06,11.5
E12000001,North East,region,2022-03-05,11.2
E12000001,North East,region,2022-03-04,10.9
E12000001,North East,region,2022-03-03,10.5
E12000001,North East,region,2022-03-02,10.2
E12000001,North East,region,2022-03-01,9.8
E12000001,North East,region,2022-02-28,9.5
E12000001,North East,region,2022-02-27,9.3
E12000001,North East,region,2022-02-26,9.2
E12000001,North East,region,2022-02-25,9.3
E12000001,North East,region,2022-02-24,9.4
E12000001,North East,region,2022-02-23,9.7
E12000001,North East,region,2022-02-22,9.9
E12000001,North East,region,2022-02-21,9.9
E12000001,North East,region,2022-02-20,9.8
E12000001,North East,region,2022-02-19,10.0
E12000001,North East,region,2022-02-18,10.2
E12000001,North East,region,2022-02-17,10.4
E12000001,North East,region,2022-02-16,10.4
E12000001,North East,region,2022-02-15,10.5
E12000001,North East,region,2022-02-14,10.7
