areaCode,areaName,areaType,date,newDeaths28DaysByPublishDate
E12000001,North East,region,2022-03-07,6
E12000001,North East,region,2022-03-06,0
E12000001,North East,region,2022-03-05,0
E12000001,North East,region,2022-03-04,7
E12000001,North East,region,2022-03-03,5
E12000001,North East,region,2022-03-02,4
E12000001,North East,region,2022-03-01,8
E12000001,North East,region,2022-02-28,4
E12000001,North East,region,2022-02-27,0
E12000001,North East,region,2022-02-26,0
E12000001,North East,region,2022-02-25,3
E12000001,North East,region,2022-02-24,4
E12000001,North East,region,2022-02-23,15
E12000001,North East,region,2022-02-22,13
E12000001,North East,region,2022-02-21,0
E12000001,North East,region,2022-02-20,2
E12000001,North East,region,2022-02-19,7
E12000001,North East,region,2022-02-18,11
E12000001,North East,region,2022-02-17,17
E12000001,North East,region,2022-02-16,15
E12000001,North East,region,2022-02-15,18
E12000001,North East,region,2022-02-14,0
E12000001,North East,region,2022-02-13,2
E12000001,North East,region,2022-02-12,14
E12000001,North East,region,2022-02-11,9
E12000001,North East,region,2022-02-10,11
E12000001,North East,region,2022-02-09,22
E12000001,North East,region,2022-02-08,21
E12000001,North East,region,2022-02-07,0
E12000001,North East,region,2022-02-06,2
E12000001,North East,region,2022-02-05,24
E12000001,North East,region,2022-02-04,17
E12000001,North East,region,2022-02-03,31
E12000001,North East,region,2022-02-02,50
E12000001,North East,region,2022-02-01,66
E12000001,North East,region,2022-01-31,1
E12000001,North East,region,2022-01-30,3
E12000001,North East,region,2022-01-29,17
E12000001,North East,region,2022-01-28,24
E12000001,North East,region,2022-01-27,18
E12000001,North East,region,2022-01-26,20
E12000001,North East,region,2022-01-25,50
E12000001,North East,region,2022-01-24,0
E12000001,North East,region,2022-01-23,1
E12000001,North East,region,2022-01-22,14
E12000001,North East,region,2022-01-21,22
E12000001,North East,region,2022-01-20,18
E12000001,North East,region,2022-01-19,12
E12000001,North East,region,2022-01-18,33
E12000001,North East,region,2022-01-17,2
E12000001,North East,region,2022-01-16,3
E12000001,North East,region,2022-01-15,19
E12000001,North East,region,2022-01-14,11
E12000001,North East,region,2022-01-13,9
E12000001,North East,region,2022-01-12,19
E12000001,North East,region,2022-01-11,18
E12000001,North East,region,2022-01-10,0
E12000001,North East,region,2022-01-09,2
E12000001,North East,region,2022-01-08,12
E12000001,North East,region,2022-01-07,12
E12000001,North East,region,2022-01-06,11
E12000001,North East,region,2022-01-05,14
E12000001,North East,region,2022-01-04,0
E12000001,North East,region,2022-01-03,1
E12000001,North East,region,2022-01-02,2
E12000001,North East,region,2022-01-01,8
E12000001,North East,region,2021-12-31,8
E12000001,North East,region,2021-12-30,10
E12000001,North East,region,2021-12-29,0
E12000001,North East,region,2021-12-28,2
E12000001,North East,region,2021-12-27,7
E12000001,North East,region,2021-12-26,0
E12000001,North East,region,2021-12-25,0
E12000001,North East,region,2021-12-24,10
E12000001,North East,region,2021-12-23,10
E12000001,North East,region,2021-12-22,5
E12000001,North East,region,2021-12-21,8
E12000001,North East,region,2021-12-20,1
E12000001,North East,region,2021-12-19,2
E12000001,North East,region,2021-12-18,7
E12000001,North East,region,2021-12-17,2
E12000001,North East,region,2021-12-16,7
E12000001,North East,region,2021-12-15,6
E12000001,North East,region,2021-12-14,12
E12000001,North East,region,2021-12-13,0
E12000001,North East,region,2021-12-12,1
E12000001,North East,region,2021-12-11,5
E12000001,North East,region,2021-12-10,7
E12000001,North East,region,2021-12-09,4
E12000001,North East,region,2021-12-08,6
E12000001,North East,region,2021-12-07,11
E12000001,North East,region,2021-12-06,0
E12000001,North East,region,2021-12-05,1
E12000001,North East,region,2021-12-04,6
E12000001,North East,region,2021-12-03,10
E12000001,North East,region,2021-12-02,4
E12000001,North East,region,2021-12-01,4
E12000001,North East,region,2021-11-30,12
E12000001,North East,region,2021-11-29,0
E12000001,North East,region,2021-11-28,2
E12000001,North East,region,2021-11-27,8
E12000001,North East,region,2021-11-26,2
E12000001,North East,region,2021-11-25,5
E12000001,North East,region,2021-11-24,16
E12000001,North East,region,2021-11-23,9
E12000001,North East,region,2021-11-22,0
E12000001,North East,region,2021-11-21,2
E12000001,North East,region,2021-11-20,9
E12000001,North East,region,2021-11-19,4
E12000001,North East,region,2021-11-18,9
E12000001,North East,region,2021-11-17,5
E12000001,North East,region,2021-11-16,17
E12000001,North East,region,2021-11-15,1
E12000001,North East,region,2021-11-14,1
E12000001,North East,region,2021-11-13,14
E12000001,North East,region,2021-11-12,5
E12000001,North East,region,2021-11-11,13
E12000001,North East,region,2021-11-10,12
E12000001,North East,region,2021-11-09,17
E12000001,North East,region,2021-11-08,1
E12000001,North East,region,2021-11-07,1
E12000001,North East,region,2021-11-06,8
E12000001,North East,region,2021-11-05,9
E12000001,North East,region,2021-11-04,10
E12000001,North East,region,2021-11-03,18
E12000001,North East,region,2021-11-02,23
E12000001,North East,region,2021-11-01,0
E12000001,North East,region,2021-10-31,2
E12000001,North East,region,2021-10-30,8
E12000001,North East,region,2021-10-29,8
E12000001,North East,region,2021-10-28,8
E12000001,North East,region,2021-10-27,11
E12000001,North East,region,2021-10-26,12
E12000001,North East,region,2021-10-25,0
E12000001,North East,region,2021-10-24,2
E12000001,North East,region,2021-10-23,12
E12000001,North East,region,2021-10-22,13
E12000001,North East,region,2021-10-21,3
E12000001,North East,region,2021-10-20,9
E12000001,North East,region,2021-10-19,16
E12000001,North East,region,2021-10-18,1
E12000001,North East,region,2021-10-17,0
E12000001,North East,region,2021-10-16,7
E12000001,North East,region,2021-10-15,7
E12000001,North East,region,2021-10-14,8
E12000001,North East,region,2021-10-13,12
E12000001,North East,region,2021-10-12,11
E12000001,North East,region,2021-10-11,1
E12000001,North East,region,2021-10-10,1
E12000001,North East,region,2021-10-09,6
E12000001,North East,region,2021-10-08,8
E12000001,North East,region,2021-10-07,4
E12000001,North East,region,2021-10-06,13
E12000001,North East,region,2021-10-05,9
E12000001,North East,region,2021-10-04,0
E12000001,North East,region,2021-10-03,0
E12000001,North East,region,2021-10-02,11
E12000001,North East,region,2021-10-01,9
E12000001,North East,region,2021-09-30,7
E12000001,North East,region,2021-09-29,8
E12000001,North East,region,2021-09-28,13
E12000001,North East,region,2021-09-27,0
E12000001,North East,region,2021-09-26,1
E12000001,North East,region,2021-09-25,8
E12000001,North East,region,2021-09-24,15
E12000001,North East,region,2021-09-23,15
E12000001,North East,region,2021-09-22,12
E12000001,North East,region,2021-09-21,16
E12000001,North East,region,2021-09-20,0
E12000001,North East,region,2021-09-19,1
E12000001,North East,region,2021-09-18,11
E12000001,North East,region,2021-09-17,12
E12000001,North East,region,2021-09-16,8
E12000001,North East,region,2021-09-15,17
E12000001,North East,region,2021-09-14,15
E12000001,North East,region,2021-09-13,0
E12000001,North East,region,2021-09-12,1
E12000001,North East,region,2021-09-11,7
E12000001,North East,region,2021-09-10,3
E12000001,North East,region,2021-09-09,7
E12000001,North East,region,2021-09-08,10
E12000001,North East,region,2021-09-07,12
E12000001,North East,region,2021-09-06,0
E12000001,North East,region,2021-09-05,1
E12000001,North East,region,2021-09-04,8
E12000001,North East,region,2021-09-03,4
E12000001,North East,region,2021-09-02,10
E12000001,North East,region,2021-09-01,19
E12000001,North East,region,2021-08-31,0
E12000001,North East,region,2021-08-30,0
E12000001,North East,region,2021-08-29,1
E12000001,North East,region,2021-08-28,6
E12000001,North East,region,2021-08-27,5
E12000001,North East,region,2021-08-26,10
E12000001,North East,region,2021-08-25,9
E12000001,North East,region,2021-08-24,17
E12000001,North East,region,2021-08-23,1
E12000001,North East,region,2021-08-22,1
E12000001,North East,region,2021-08-21,5
E12000001,North East,region,2021-08-20,3
E12000001,North East,region,2021-08-19,8
E12000001,North East,region,2021-08-18,9
E12000001,North East,region,2021-08-17,10
E12000001,North East,region,2021-08-16,0
E12000001,North East,region,2021-08-15,1
E12000001,North East,region,2021-08-14,5
E12000001,North East,region,2021-08-13,8
E12000001,North East,region,2021-08-12,6
E12000001,North East,region,2021-08-11,8
E12000001,North East,region,2021-08-10,16
E12000001,North East,region,2021-08-09,0
E12000001,North East,region,2021-08-08,3
E12000001,North East,region,2021-08-07,9
E12000001,North East,region,2021-08-06,15
E12000001,North East,region,2021-08-05,8
E12000001,North East,region,2021-08-04,14
E12000001,North East,region,2021-08-03,17
E12000001,North East,region,2021-08-02,0
E12000001,North East,region,2021-08-01,6
E12000001,North East,region,2021-07-31,5
